HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
63,Apparel and textiles,7,Bangladesh,0.013258589187007442,1.3258589187007441,0.13350403631445232,13.350403631445232
63,Apparel and textiles,8,Portugal,0.01004042113871303,1.004042113871303,0.13428286163683256,13.428286163683257
63,Apparel and textiles,9,Cambodia,0.009769501489472258,0.9769501489472258,0.14305066574454983,14.305066574454983
63,Apparel and textiles,10,Taiwan,0.009497610129629762,0.9497610129629762,0.17333142874903004,17.333142874903004
64,Footwear,1,China,0.3627346418033137,36.27346418033137,0.32351221891742044,32.35122189174204
64,Footwear,2,Vietnam,0.34067667531366935,34.067667531366936,0.22736368944986457,22.736368944986456
64,Footwear,3,Indonesia,0.0974248840168935,9.74248840168935,0.23466746087374254,23.466746087374254
64,Footwear,4,Italy,0.07878388843426233,7.878388843426233,0.15828560152521995,15.828560152521995
64,Footwear,5,Cambodia,0.03691022566967843,3.6910225669678427,0.1932845458746296,19.32845458746296
64,Footwear,6,Mexico,0.02729661475215841,2.729661475215841,0.008187504399820807,0.8187504399820806
64,Footwear,7,India,0.01895906909104259,1.8959069091042589,0.2580851569906834,25.80851569906834
64,Footwear,8,Germany,0.016009373029043025,1.6009373029043026,0.14684439601314153,14.684439601314153
64,Footwear,9,Bangladesh,0.011976408796321053,1.1976408796321054,0.1816813032586566,18.16813032586566
64,Footwear,10,Brazil,0.00922821909361771,0.922821909361771,0.27692771654269466,27.692771654269464
70,Glassware,1,China,0.34338914493837813,34.33891449383781,0.4397357946753301,43.97357946753301
70,Glassware,2,Mexico,0.2623598662260639,26.23598662260639,0.011670777551342814,1.1670777551342815
70,Glassware,3,Germany,0.08917355008091969,8.917355008091969,0.10936891901323156,10.936891901323156
70,Glassware,4,Canada,0.0789554883746838,7.895548837468381,0.01014828266122147,1.014828266122147
70,Glassware,5,Taiwan,0.042013830557840935,4.201383055784094,0.1390782728974986,13.90782728974986
70,Glassware,6,India,0.04178178093944207,4.178178093944207,0.20022672172745667,20.02267217274567
70,Glassware,7,France,0.03923150638875729,3.923150638875729,0.10012055747141348,10.012055747141348
70,Glassware,8,Japan,0.039024979855840414,3.9024979855840414,0.11297264971058125,11.297264971058125
70,Glassware,9,Italy,0.0342935299347035,3.4293529934703497,0.11123479354636472,11.123479354636471
70,Glassware,10,Vietnam,0.029776322703370342,2.9776322703370344,0.15518472592266339,15.518472592266338
73,Articles of iron or steel,1,China,0.2919813560486092,29.19813560486092,0.5389596295875462,53.895962958754616
73,Articles of iron or steel,2,Mexico,0.18207600345449965,18.207600345449965,0.1263502078293085,12.63502078293085
73,Articles of iron or steel,3,Canada,0.12773831491876544,12.773831491876544,0.16387886333623952,16.387886333623953
73,Articles of iron or steel,4,Taiwan,0.08919997680020039,8.919997680020039,0.31296665637263266,31.296665637263267
73,Articles of iron or steel,5,"Korea, South",0.07369755676211368,7.369755676211367,0.2528800554442252,25.28800554442252
73,Articles of iron or steel,6,India,0.06717281916239745,6.717281916239745,0.2947834574146759,29.47834574146759
73,Articles of iron or steel,7,Germany,0.055327901592817426,5.532790159281743,0.2900923579517152,29.009235795171517
73,Articles of iron or steel,8,Japan,0.04343464211000283,4.343464211000283,0.2712862931423551,27.128629314235507
73,Articles of iron or steel,9,Italy,0.035018771998091926,3.5018771998091927,0.2364260817140957,23.64260817140957
73,Articles of iron or steel,10,Vietnam,0.034352657152502,3.4352657152501997,0.27923055199236735,27.923055199236735
76,Articles of aluminum,1,Canada,0.5214813496950464,52.148134969504646,0.21555340651999508,21.555340651999508
76,Articles of aluminum,2,China,0.12680110454072355,12.680110454072354,0.5373904637157659,53.73904637157659
76,Articles of aluminum,3,Mexico,0.09031833225358118,9.031833225358119,0.12122643316951483,12.122643316951482
76,Articles of aluminum,4,United Arab Emirates,0.06109908277052667,6.109908277052667,0.2861317687947265,28.61317687947265
76,Articles of aluminum,5,"Korea, South",0.042518402939839064,4.251840293983906,0.3181304341954471,31.813043419544712
76,Articles of aluminum,6,India,0.04051785353679012,4.051785353679012,0.26918427293859515,26.918427293859516
